id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
17404,47,"п Мурино, корпус 17 (Блок 17.1), строение Надземная автостоянка",ИНВЕСТКАПИТАЛ,60.0573,30.452,Типовой,2022-06-30,5.0,0.0,0.0,0,Монолит-кирпич,6,0.0,B,,,0.0
17401,47,"п Мурино, корпус 14, строение Подземная автостоянка",ИНВЕСТКАПИТАЛ,60.06,30.4545,Типовой,2021-10-20,1.0,0.0,0.0,0,Монолит-кирпич,6,0.0,B,,,0.0
17405,47,"п Мурино, корпус 17 (Блок 17.2), строение Надземная автостоянка",ИНВЕСТКАПИТАЛ,60.0573,30.452,Типовой,2022-06-30,5.0,0.0,0.0,0,Монолит-кирпич,6,0.0,B,,,0.0
17406,47,"п Мурино, корпус 18 (Блок 18.1), строение Надземная автостоянка",ИНВЕСТКАПИТАЛ,60.0565,30.4513,Типовой,2022-06-30,5.0,0.0,0.0,0,Монолит-кирпич,6,0.0,B,,,0.0
16748,47,"д Кудрово, корпус 1",ИНВЕСТТОРГ-НЕДВИЖИМОСТЬ 6-4,59.9086,30.5171,Другое,2016-12-27,21.0,450.0,38928.0,0,Монолит-кирпич,7,0.0,B,,,
16749,47,"Кудрово, корпус 2",ИНВЕСТТОРГ-НЕДВИЖИМОСТЬ 6-4,59.9083,30.5163,Другое,2017-03-07,21.0,848.0,20243.0,0,Монолит-кирпич,7,0.0,B,,,
27374,47,Новогорелово,ИНТЕР АЛЬЯНС,59.7922,30.1667,Типовой,2019-05-20,17.0,384.0,14574.0,0,Другое,7,0.0,B,,,
10417,47,п Новогорелово,ИНТЕР АЛЬЯНС,59.7903,30.1692,Типовой,2020-01-10,17.0,150.0,6069.3,0,Другое,7,0.0,B,64920.0,,
26183,47,"Новогорелово, участок 7",ИНТЕР АЛЬЯНС,59.7911,30.1669,Типовой,2020-01-10,17.0,450.0,18221.3,0,Другое,7,0.0,B,69196.0,,
32286,47,"п Новогорелово, участок 10",ИНТЕР АЛЬЯНС,59.7911,30.1698,Типовой,2020-12-01,17.0,384.0,14397.28,0,Другое,7,0.0,B,74160.0,,
32287,47,"п Новогорелово, участок 9",ИНТЕР АЛЬЯНС,59.7916,30.1683,Типовой,2020-12-18,17.0,384.0,14397.41,0,Другое,7,0.0,B,87349.0,,
36954,47,"п Новогорелово, Участок 5, корпус 5.1",ИНТЕР АЛЬЯНС,59.7939,30.1677,Типовой,2022-06-30,17.0,360.0,13475.4,0,Другое,6,0.0,B,111845.0,"2,54",132.0
36955,47,"п Новогорелово, Участок 5, корпус 5.2",ИНТЕР АЛЬЯНС,59.7934,30.1691,Типовой,2022-06-30,17.0,360.0,13475.4,0,Другое,6,0.0,B,117478.0,"2,54",132.0
36956,47,"п Новогорелово, Участок 5, корпус 5.3",ИНТЕР АЛЬЯНС,59.7926,30.1703,Типовой,2022-06-30,17.0,360.0,13475.4,0,Другое,6,0.0,B,106297.0,"2,54",132.0
41269,47,"г Выборг, район Железнодорожный поселок, корпус М5",КАПСТРОЙ,60.7202,28.759,Комфорт,2023-12-31,10.0,62.0,3475.85,0,Другое,6,77.0,C,119429.0,"2,74",2.0
41270,47,"г Выборг, корпус М6",КАПСТРОЙ,60.7201,28.7596,Комфорт,2023-12-31,10.0,63.0,3510.91,0,Другое,6,61.0,B,,"2,74",2.0
41271,47,"г Выборг, корпус М7",КАПСТРОЙ,60.7201,28.7596,Комфорт,2023-12-31,10.0,55.0,3422.21,0,Другое,6,7.0,C,115660.0,"2,74",2.0
13447,47,деревня Мистолово,КАРЕЛИЯ ДЕВЕЛОПМЕНТ,60.1216,30.4238,Комфорт,2020-01-10,5.0,563.0,30331.7,0,Монолит-кирпич,2,0.0,B,84477.0,,
17821,47,"Тельмана, ул Онежская, д. 2",КВАРТАЛ 17 А,59.7304,30.6196,Комфорт,2020-09-04,18.0,615.0,44861.7,0,Монолит-кирпич,7,0.0,B,54109.0,,
