id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
19999,77,"г Москва, поселение Сосенское, вблизи д. Николо-Хованское, корпус 27",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6023,37.4115,Типовой,2021-08-11,16.0,674.0,33989.1,0,Другое,3.0,1,190.0,A,134836.0,"2,6",14.0
27714,77,"г Николо-Хованское, корпус 35",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6048,37.4129,Типовой,2021-09-13,17.0,135.0,7464.6,0,Другое,3.0,2,0.0,A,151655.0,"2,6",17.0
26333,77,"г Николо-Хованское, корпус 41",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6012,37.4134,Типовой,2021-10-21,16.0,687.0,34874.9,0,Другое,3.0,1,190.0,A,145241.0,"2,6 - 4,02",14.0
27715,77,"д Николо-Хованское, корпус 36",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6055,37.4132,Типовой,2021-09-13,17.0,150.0,7456.8,0,Другое,3.0,3,0.0,A,158068.0,"2,6",17.0
26337,77,"г Николо-Хованское, корпус 34",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6033,37.4133,Типовой,2022-01-19,16.0,608.0,30241.3,0,Другое,4.0,1,123.0,A,145876.0,"2,63 - 4,05",70.0
27716,77,"д Николо-Хованское, корпус 37",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6043,37.4148,Типовой,2022-12-31,16.0,587.0,29296.9,0,Другое,3.0,2,123.0,A,162017.0,"2,63 - 4,05",68.0
39039,77,"ул Саларьевская, д. 12, строение 2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.619,37.412,Типовой,2022-09-30,6.0,0.0,0.0,0,Другое,4.0,5,406.0,Не нормируется,67443.0,,19.0
41952,77,"г Москва, корпус 53",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6058,37.4312,Типовой,2023-06-30,18.0,192.0,7843.2,0,Панель,3.0,1,0.0,A,201665.0,"2,6",8.0
41203,77,"г Москва, квартал № 7, д. 3, корпус 5",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6058,37.4312,Типовой,2023-06-30,18.0,192.0,7843.2,0,Панель,3.0,1,0.0,A,215105.0,"2,6",8.0
40328,77,"г Москва, корпус 49",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.5959,37.4502,Типовой,2023-03-31,18.0,192.0,7854.4,0,Панель,2.0,5,0.0,C,221035.0,"2,6",8.0
