id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,floors,ceiling_height,price_avg,guest_parking_count
37195,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9824,30.3381,Типовой,2022-12-31,40.0,2386.4,0,Другое,10.0,1,0.0,A,10.0,"2,68",175851.0,7.0
37192,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9822,30.3378,Типовой,2022-09-30,163.0,7085.1,0,Другое,10.0,1,0.0,A,14.0,"2,68 - 3,32",173806.0,12.0
37197,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9824,30.338,Типовой,2023-06-30,497.0,19932.6,0,Другое,10.0,1,0.0,A,14.0,"2,68 - 3,52",200660.0,42.0
37196,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9823,30.3383,Типовой,2022-12-31,40.0,2386.4,0,Другое,10.0,1,0.0,A,10.0,"2,68",173595.0,7.0
37194,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9824,30.3381,Типовой,2022-12-31,272.0,12532.8,0,Другое,10.0,1,0.0,A,10.0,"2,68",191684.0,8.0
37199,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9824,30.3378,Типовой,2024-09-30,337.0,14115.3,0,Другое,10.0,1,0.0,A,14.0,"2,68 - 3,32",123500.0,55.0
37198,78,"г Санкт-Петербург, район Выборгский, ул Кантемировская, д. 11, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАНТЕМИРОВСКАЯ,59.9823,30.3381,Типовой,2024-03-31,0.0,0.0,0,Другое,10.0,1,397.0,Не нормируется,9.0,,35472.0,397.0
41929,78,"линия 15-я В.О., д. 84, корпус 2, строение Литера Б",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАПСТРОЙ-ПИТЕР,59.9464,30.2606,Комфорт,2022-09-30,72.0,6304.8,0,Монолит-кирпич,6.0,9,0.0,B,9.0,"2,9",229380.0,0.0
42086,78,"г Санкт-Петербург, наб Реки Карповки, д. 31, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАРПОВКА 31,59.9702,30.3062,Элитный,2023-12-31,0.0,0.0,0,Монолит,9.0,10,0.0,B,9.0,,,0.0
42085,78,"г Санкт-Петербург, наб Реки Карповки, д. 39, литера Б",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАРПОВКА 31,59.9701,30.3027,Элитный,2023-12-31,2.0,362.6,0,Кирпич,8.0,10,0.0,A,3.0,"3,68 - 4,2",,0.0
42084,78,"г Санкт-Петербург, наб Реки Карповки, д. 31, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАРПОВКА 31,59.9701,30.3045,Элитный,2023-12-31,361.0,32968.7,0,Монолит,8.0,10,220.0,B,9.0,"3 - 3,3",438720.0,0.0
45575,78,г Санкт-Петербург,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8476,30.0832,Комфорт,2024-09-30,229.0,10332.93,0,Монолит-кирпич,1.0,5,0.0,A,5.0,"2,76",,49.0
