id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count,transport_dist_index
43815,78,"г Санкт-Петербург, ул Школьная",БАСТИОН,59.9875,30.2854,Комфорт,2025-03-31,11.0,198.0,6537.76,0,Другое,8,30.0,C,,"2,68",62.0,6.0
8922,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 12",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,6.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8938,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 33",БАСФОР,60.1316,29.9383,Комфорт,2024-12-31,1.0,0.0,0.0,0,Другое,1,0.0,B,120000.0,,40.0,
8923,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 16",БАСФОР,60.1289,29.943,Комфорт,2017-12-29,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,,,40.0,
8936,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 29",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,2.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8932,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 25",БАСФОР,60.1315,29.9379,Комфорт,2024-12-31,2.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8916,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 1",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,8.0,0.0,0.0,0,Монолит-кирпич,1,678.0,B,87856.0,,40.0,
8927,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 21",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,2.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8937,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А",БАСФОР,60.1315,29.9382,Комфорт,2024-12-31,2.0,0.0,0.0,0,Монолит-кирпич,1,323.0,B,45283.0,,40.0,
8926,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 17",БАСФОР,60.1315,29.9379,Комфорт,2022-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,,,40.0,
8918,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 8",БАСФОР,60.1315,29.9379,Комфорт,2024-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8933,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 27",БАСФОР,60.1304,29.9392,Комфорт,2017-12-29,1.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,,,40.0,
8920,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 6",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8929,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 23",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,1.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8935,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 26",БАСФОР,60.1287,29.9399,Комфорт,2017-12-29,1.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,,,40.0,
8931,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 24",БАСФОР,60.1292,29.9403,Комфорт,2017-12-29,3.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,,,40.0,
8934,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 28",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,477.0,B,45283.0,,40.0,
8915,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 1.2",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,8.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8928,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 20",БАСФОР,60.1315,29.9382,Комфорт,2024-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,203.0,B,106194.0,,40.0,
8921,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 10",БАСФОР,60.1315,29.938000000000002,Комфорт,2023-06-30,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8925,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 9",БАСФОР,60.1298,29.9398,Комфорт,2018-10-04,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,,,40.0,
8924,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 13",БАСФОР,60.1315,29.9382,Комфорт,2023-06-30,6.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8930,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 22",БАСФОР,60.1315,29.9379,Комфорт,2024-12-31,1.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8919,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 5",БАСФОР,60.1316,29.9382,Комфорт,2024-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
8917,78,"г Санкт-Петербург, шоссе Приморское, д. 1, литера А, корпус 7",БАСФОР,60.1315,29.9381,Комфорт,2024-12-31,7.0,0.0,0.0,0,Монолит-кирпич,1,0.0,B,120000.0,,40.0,
3006,78,"г Санкт-Петербург, район Московский, проспект Космонавтов, д. 102, литера А",БАУ СИТИ,59.8308,30.3633,Бизнес,2019-08-28,27.0,416.0,20335.05,0,Монолит-кирпич,8,134.0,B,111866.0,,,3.0
20844,78,"г Санкт-Петербург, район Василеостровский, проспект Малый В.О., д. 54, литера А1, корпус 2",БЕСТ,59.9416,30.2575,Комфорт,2022-04-15,11.0,0.0,0.0,0,Другое,9,48.0,B,140416.0,,0.0,9.0
26876,78,"г Санкт-Петербург, район Петроградский, ул Академика Павлова, д. 5, литера К",БЕСТ,59.9782,30.3164,Комфорт,2020-02-12,9.0,0.0,0.0,0,Другое,10,14.0,B,,,,7.0
12557,78,"г Санкт-Петербург, улица Тележная, д. 17-19, литера А",БИЗАНТ,59.9254,30.3741,Элитный,2021-12-30,10.0,256.0,17085.11,0,Монолит-кирпич,10,138.0,B,173523.0,"2,98",3.0,10.0
7709,78,"г Санкт-Петербург, проспект Аптекарский, д. 16, литера Б",БОНАВА САНКТ-ПЕТЕРБУРГ,59.975,30.3193,Бизнес,2020-08-21,11.0,283.0,17593.97,0,Панель,10,68.0,A,184021.0,,,8.0
32153,78,"г Санкт-Петербург, Проспект Аптекарский, д. 16, литера Б",БОНАВА САНКТ-ПЕТЕРБУРГ,59.975,30.3176,Бизнес,2017-10-10,11.0,291.0,18768.47,0,Панель,10,172.0,A++,159145.0,,,9.0
6504,78,"г Санкт-Петербург, улица Магнитогорская, д. 11",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9373,30.4184,Бизнес,2021-07-22,15.0,239.0,17581.73,0,Панель,9,97.0,A,181995.0,"2,98",126.0,9.0
6503,78,"г Санкт-Петербург, Магнитогорская, д. 11",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9373,30.4184,Комфорт,2020-04-10,16.0,104.0,5927.79,0,Панель,9,0.0,A,150009.0,"2,7",77.0,1.0
3277,78,"г Санкт-Петербург, ул Магнитогорская, д. 11",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9373,30.4184,Комфорт,2020-12-23,16.0,233.0,14639.89,0,Монолит-кирпич,9,19.0,A,163173.0,,,1.0
3095,78,"г Санкт-Петербург, ул Магнитогорская, д. 11",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9374,30.4159,Комфорт,2018-12-29,16.0,376.0,16514.55,0,Монолит-кирпич,9,226.0,A,133929.0,,,5.0
32151,78,"Город Санкт-Петербург, Проспект Аптекарский, д. 16, литера Б",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9742,30.3198,Бизнес,2016-06-10,11.0,346.0,20802.05,0,Панель,10,195.0,A++,152995.0,,,8.0
3278,78,"г Санкт-Петербург, ул Магнитогорская, д. 11",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9374,30.4159,Бизнес,2019-12-06,15.0,199.0,13413.42,0,Монолит-кирпич,9,287.0,A,162913.0,,,5.0
3118,78,"г Санкт-Петербург, проспект Аптекарский, д. 16, литера Б",БОНАВА САНКТ-ПЕТЕРБУРГ,59.9732,30.3195,Бизнес,2018-10-30,11.0,301.0,19849.82,0,Панель,10,135.0,A++,161430.0,,,8.0
3362,78,"г Санкт-Петербург, проспект Космонавтов, д. 102, корпус 3, строение 1",БОРЕЙ-ИНВЕСТ,59.8311,30.3648,Типовой,2018-12-11,18.0,269.0,11149.65,0,Монолит-кирпич,8,70.0,C,,,,3.0
